match_id,player,format,year,runs,balls_faced,fours,sixes,strike_rate,dismissed
1764,Kumar Sangakkara,T20_WC,2017,84.0,106,10,1,79.25,1
449,Jos Buttler,IPL,2014,5.0,5,0,0,100.0,1
1418,AB de Villiers,T20_WC,2020,44.0,54,6,1,81.48,1
1937,Babar Azam,IPL,2015,41.0,32,2,1,128.12,1
1532,KL Rahul,IPL,2010,41.0,35,5,3,117.14,1
1594,Shikhar Dhawan,T20_WC,2020,95.0,104,9,6,91.35,1
1187,Shikhar Dhawan,ODI_WC,2018,45.0,58,3,3,77.59,1
1668,Joe Root,ODI_WC,2012,,15,0,0,80.0,1
1964,AB de Villiers,T20_WC,2013,15.0,19,1,0,78.95,1
219,Babar Azam,T20_WC,2020,17.0,12,2,0,141.67,1
892,Kane Williamson,T20_WC,2015,1.0,1,0,0,100.0,1
331,Ben Stokes,T20_WC,2015,85.0,112,6,2,75.89,1
1475,Suresh Raina,ODI_WC,2017,2.0,1,0,0,200.0,1
1308,Rohit Sharma,ODI_WC,2010,42.0,41,2,2,102.44,1
1163,Ben Stokes,T20_WC,2019,45.0,48,2,2,93.75,1
1539,Sachin Tendulkar,IPL,2021,64.0,55,9,4,116.36,0
504,Chris Gayle,IPL,2011,28.0,29,2,0,96.55,1
1380,Jos Buttler,IPL,2013,45.0,59,3,3,76.27,1
1795,Kumar Sangakkara,Test,2011,12.0,15,1,0,80.0,1
281,Pat Cummins,ODI_WC,2017,47.0,63,4,2,74.6,1
844,Brian Lara,T20_WC,2011,14.0,14,1,0,100.0,1
12,Kumar Sangakkara,IPL,2022,81.0,79,6,5,102.53,0
1969,Virat Kohli,IPL,2012,6.0,6,0,0,100.0,1
1464,Ricky Ponting,Test,2023,13.0,12,1,0,108.33,1
565,Kumar Sangakkara,Test,2017,24.0,17,1,1,141.18,1
1790,KL Rahul,IPL,2014,52.0,62,6,3,83.87,1
1120,Chris Gayle,ODI_WC,2019,48.0,43,6,0,111.63,1
232,AB de Villiers,IPL,2009,8.0,5,0,0,160.0,1
1802,Babar Azam,IPL,2020,5.0,3,0,0,166.67,1
1136,Brian Lara,ODI_WC,2009,12.0,16,0,0,75.0,1
1939,Shikhar Dhawan,T20_WC,2019,23.0,20,1,0,115.0,0
1071,Joe Root,ODI_WC,2017,27.0,27,3,1,100.0,1
1718,MS Dhoni,IPL,2021,19.0,25,1,0,76.0,1
1771,Ricky Ponting,IPL,2016,38.0,39,2,1,97.44,0
254,Joe Root,IPL,2023,19.0,14,1,0,135.71,1
1543,Shikhar Dhawan,IPL,2011,102.0,110,12,4,92.73,1
1880,Suresh Raina,T20_WC,2012,10.0,7,0,0,142.86,1
1447,Virat Kohli,IPL,2010,34.0,26,2,2,130.77,1
288,AB de Villiers,IPL,2009,33.0,42,2,1,78.57,1
1815,Kane Williamson,IPL,2021,11.0,9,1,0,122.22,1
1330,Ben Stokes,ODI_WC,2017,18.0,21,1,0,85.71,0
1939,Chris Gayle,T20_WC,2015,15.0,15,1,0,100.0,1
1008,KL Rahul,ODI_WC,2011,6.0,5,0,0,120.0,1
374,Kumar Sangakkara,IPL,2021,22.0,23,2,1,95.65,1
195,Kumar Sangakkara,IPL,2019,17.0,12,1,0,141.67,1
1049,Rohit Sharma,IPL,2008,6.0,5,0,0,120.0,1
1945,Virat Kohli,IPL,2020,20.0,21,2,1,95.24,1
1030,AB de Villiers,IPL,2023,19.0,16,2,1,118.75,1
1505,Babar Azam,IPL,2013,4.0,4,0,0,100.0,1
865,Rohit Sharma,T20_WC,2013,4.0,2,0,0,200.0,1
143,MS Dhoni,Test,2009,36.0,37,2,0,97.3,1
703,David Warner,IPL,2009,42.0,50,4,2,84.0,1
1684,Suresh Raina,ODI_WC,2015,99.0,99,11,4,100.0,1
171,Ricky Ponting,IPL,2018,3.0,3,0,0,100.0,1
490,KL Rahul,ODI_WC,2014,4.0,4,0,0,100.0,1
96,Jos Buttler,T20_WC,2021,1.0,1,0,0,100.0,1
984,MS Dhoni,Test,2009,26.0,23,3,0,113.04,0
