match_id,bowler,format,year,overs,runs_conceded,wickets,economy_rate,maidens
1018,Shane Warne,IPL,2019,20,117,3,5.85,0
1278,Stuart Broad,ODI_WC,2014,4,26,2,6.5,1
1501,Shaheen Afridi,IPL,2009,20,189,0,9.45,1
1872,Yuzvendra Chahal,IPL,2012,10,61,1,6.1,0
1111,Pat Cummins,T20_WC,2008,20,147,1,7.35,2
1315,Mitchell Starc,ODI_WC,2023,20,124,4,6.2,2
377,Jasprit Bumrah,IPL,2020,4,42,3,10.5,1
1835,Shane Warne,Test,2011,10,113,0,11.3,2
1878,Rashid Khan,ODI_WC,2019,20,219,1,10.95,1
291,Lasith Malinga,ODI_WC,2015,10,51,1,5.1,0
1670,Shaheen Afridi,IPL,2008,20,144,5,7.2,0
696,Pat Cummins,T20_WC,2022,10,94,3,9.4,1
1367,Stuart Broad,IPL,2017,10,50,3,5.0,2
765,Muttiah Muralitharan,T20_WC,2008,10,102,1,10.2,1
791,Shane Warne,ODI_WC,2021,4,44,2,11.0,1
414,Shaheen Afridi,IPL,2020,4,22,1,5.5,0
1893,Mitchell Starc,T20_WC,2011,10,80,3,8.0,1
938,Shane Warne,T20_WC,2017,10,71,5,7.1,0
1940,Pat Cummins,ODI_WC,2023,4,46,2,11.5,0
651,Ravindra Jadeja,ODI_WC,2012,20,145,1,7.25,0
1532,Pat Cummins,IPL,2016,10,90,3,9.0,1
1368,Kagiso Rabada,Test,2022,10,50,4,5.0,1
697,Mitchell Starc,T20_WC,2021,4,43,0,10.75,2
978,Glenn Maxwell,Test,2012,20,104,2,5.2,2
411,Ravindra Jadeja,ODI_WC,2008,10,89,2,8.9,0
1461,Rashid Khan,IPL,2022,10,101,0,10.1,2
263,James Anderson,IPL,2018,10,77,0,7.7,2
1200,Shaheen Afridi,T20_WC,2010,10,52,0,5.2,0
597,Glenn Maxwell,Test,2011,4,45,0,11.25,0
1272,Ravindra Jadeja,IPL,2022,20,151,0,7.55,1
1615,Lasith Malinga,T20_WC,2014,20,165,4,8.25,0
72,Kagiso Rabada,IPL,2009,10,106,4,10.6,2
220,Lasith Malinga,Test,2011,20,192,0,9.6,2
1365,Lasith Malinga,ODI_WC,2015,20,145,0,7.25,2
1864,Ravindra Jadeja,T20_WC,2012,20,175,1,8.75,1
604,Glenn Maxwell,IPL,2013,10,56,2,5.6,2
879,Jasprit Bumrah,ODI_WC,2010,20,167,0,8.35,1
463,Shane Warne,Test,2011,20,159,3,7.95,2
1132,James Anderson,IPL,2016,10,103,0,10.3,1
1259,Trent Boult,Test,2009,4,42,0,10.5,2
165,Kagiso Rabada,IPL,2010,4,44,2,11.0,1
629,Trent Boult,IPL,2009,4,44,0,11.0,2
1243,Lasith Malinga,ODI_WC,2009,4,47,0,11.75,0
1961,Jasprit Bumrah,ODI_WC,2018,20,199,3,9.95,0
666,Mitchell Starc,IPL,2016,10,93,1,9.3,1
