match_id,format,year,team1,team2,winner,venue,toss_winner,toss_decision,toss_won_match,match_type
1,IPL,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Gaddafi Stadium,Sunrisers Hyderabad,field,1,league
2,Test,2014,West Indies,Australia,Australia,Gaddafi Stadium,West Indies,bat,0,league
3,ODI_WC,2010,Afghanistan,Sri Lanka,Sri Lanka,Dubai International,Afghanistan,bat,0,knockout
4,T20_WC,2014,West Indies,Bangladesh,West Indies,SCG,West Indies,bat,1,league
5,IPL,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Lords,Royal Challengers Bangalore,field,0,league
6,IPL,2021,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,SCG,Rajasthan Royals,bat,1,league
7,IPL,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Headingley,Sunrisers Hyderabad,field,0,league
8,Test,2017,Sri Lanka,Australia,Sri Lanka,Eden Gardens,Australia,bat,0,knockout
9,T20_WC,2023,West Indies,South Africa,South Africa,Headingley,West Indies,field,0,league
10,ODI_WC,2023,Bangladesh,Sri Lanka,Bangladesh,Headingley,Bangladesh,field,1,knockout
11,IPL,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,,Sunrisers Hyderabad,bat,1,league
12,Test,2022,South Africa,Sri Lanka,Sri Lanka,Feroz Shah Kotla,Sri Lanka,field,1,league
13,ODI_WC,2017,Sri Lanka,Afghanistan,Afghanistan,Narendra Modi Stadium,Afghanistan,field,1,knockout
14,IPL,2016,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SCG,Rajasthan Royals,field,1,knockout
15,IPL,2020,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Wankhede Stadium,Punjab Kings,bat,0,knockout
16,IPL,2013,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,SCG,Sunrisers Hyderabad,field,0,knockout
17,IPL,2019,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,MCG,Sunrisers Hyderabad,bat,0,league
18,T20_WC,2016,South Africa,West Indies,West Indies,Dubai International,West Indies,field,1,league
19,IPL,2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Rajasthan Royals,field,1,knockout
20,IPL,2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Gaddafi Stadium,Rajasthan Royals,bat,0,league
21,T20_WC,2015,West Indies,South Africa,South Africa,Feroz Shah Kotla,West Indies,bat,0,league
22,IPL,2018,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,Delhi Capitals,bat,1,knockout
23,IPL,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,0,knockout
24,IPL,2009,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,SCG,Rajasthan Royals,bat,0,league
25,T20_WC,2017,Bangladesh,England,Bangladesh,Wankhede Stadium,England,field,0,knockout
26,ODI_WC,2018,Australia,Pakistan,Australia,Dubai International,Pakistan,field,0,league
27,IPL,2016,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Newlands,Sunrisers Hyderabad,bat,1,knockout
28,T20_WC,2012,Afghanistan,England,Afghanistan,Newlands,England,field,0,league
29,T20_WC,2011,South Africa,Afghanistan,South Africa,Dubai International,South Africa,bat,1,league
30,IPL,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,1,league
31,T20_WC,2008,Afghanistan,New Zealand,New Zealand,SuperSport Park,Afghanistan,field,0,league
32,IPL,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Kolkata Knight Riders,bat,0,league
33,IPL,2014,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Lords,Kolkata Knight Riders,field,1,knockout
34,Test,2013,West Indies,New Zealand,New Zealand,Lords,West Indies,field,0,league
35,Test,2022,Sri Lanka,Australia,Sri Lanka,MA Chidambaram Stadium,Sri Lanka,field,1,league
36,ODI_WC,2022,South Africa,New Zealand,New Zealand,Wankhede Stadium,New Zealand,field,1,league
37,IPL,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,SuperSport Park,Royal Challengers Bangalore,field,1,league
38,IPL,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Headingley,Kolkata Knight Riders,bat,0,knockout
39,ODI_WC,2015,New Zealand,South Africa,New Zealand,SCG,South Africa,bat,0,league
40,IPL,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Headingley,Royal Challengers Bangalore,field,1,league
41,IPL,2011,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,MA Chidambaram Stadium,Royal Challengers Bangalore,field,0,league
42,T20_WC,2015,England,India,India,MCG,India,bat,1,league
